group_id,leader,member,Label ,Canonical_leader ,Brand ,Name ,Package ,Promotion
0,1 kg baker adult beef dog food,1 kg baker adult beef dog food,True ,baker adult beef dog food 1 kg ,Baker,Adult beef dog food ,1 kg,
2,1 kg happy shopper self raising flour,1 kg happy shopper self raising flour,True ,happy shopper self raising flour 1 kg ,Happy Shopper,Self raising flour ,1 kg,
12,1 ltr carter low cal tonic,1 ltr carter low cal tonic,True ,carter low calorie tonic 1 L,Carter,Low calorie tonic,1 L,
14,1 ltr chekov,1 ltr chekov,True ,chekov 1 L,Chekov,Vodka ,1 L,
18,1 ltr e energy drink,1 ltr e energy drink,True ,e energy drink 1 L,,E energy drink ,1 L,
24,1 ltr h lemon squash,1 ltr h lemon squash,True ,h lemon squash 1 L,,H lemon squash ,1 L,
27,1 ltr high commisioner,1 ltr high commisioner,True ,high commisioner 1 L,High Commisioner,Whisky ,1 L,
29,1 ltr jack pure apple juice,1 ltr jack pure apple juice,True ,jack pure apple juice 1 L,,,,
30,1 ltr lakeland semi skimmed uht milk,1 ltr lakeland semi skimmed uht milk,True ,lakeland semi skimmed uht milk 1 L,,,,
31,1 ltr omega cider,1 ltr omega cider,True ,omega cider 1 L,,,,
35,1 ltr smirnoff,1 ltr smirnoff,True ,smirnoff 1 L,,,,
36,1 ltr sterelised milk,1 ltr sterelised milk,True ,sterelised milk 1 L,,,,
41,1 lttr ktc pure vegetable oil,1 lttr ktc pure vegetable oil,True ,ktc pure vegetable oil 1 L,,,,
42,1 pi nt of pla stic cup 15,1 pi nt of pla stic cup 15,True ,,,,,
43,1 pint fresh semi milk,1 pint fresh semi milk,True ,fresh semi milk 500 ml,,,,
45,1 pint red top milk,1 pint red top milk,True ,red top milk 500 ml,,,,
47,1 x clipper lighter printed design vary,1 x clipper lighter printed design vary,True ,clipper lighter printed design vary 1 u,,,,
50,1.5 lt chardolini,1.5 lt chardolini,True ,chardolini 1.5 L,,,,
53,1.5 ltr jack orange squash,1.5 ltr jack orange squash,True ,jack orange squash 1.5 L,,,,
65,10 24pk weetabix cereal 24 pack,10 24pk weetabix cereal 24 pack,True ,weetabix cereal 24 units,,,,
66,10 ball pen,10 ball pen,True ,ball pen 10 units,,,,
67,10 egg medium,10 egg medium,True ,egg medium 10 units,,,,
69,10 heavy refuse bag,10 heavy refuse bag,True ,heavy refuse bag 10 units,,,,
70,10 large egg,10 large egg,True ,large egg 10 units,,,,
71,10 pack dishcloth,10 pack dishcloth,True ,pack dishcloth 10 units,,,,
72,10 pack frankfurter,10 pack frankfurter,True ,pack frankfurter 10 units,,,,
73,10 pack heavy duty bin bag,10 pack heavy duty bin bag,True ,heavy duty bin bag 10 pack,,,,
74,10 pack sponge scourer,10 pack sponge scourer,True ,sponge scourer 10 pack,,,,
75,10 pk cafe classic latte,10 pk cafe classic latte,True ,cafe classic latte 10 pack,,,,
76,10 pk classic cafe cappucino,10 pk classic cafe cappucino,True ,classic cafe cappucino 10 pack,,,,
78,10 refuse sack,10 refuse sack,True ,refuse sack 10 pack,,,,
79,10 sterling dual leaf,10 sterling dual leaf,True ,sterling dual leaf 10 pack,,,,
88,100 g aero peppermint,100 g aero peppermint,True ,aero peppermint 100 g,,,,
89,100 g bakewell flapjack,100 g bakewell flapjack,True ,bakewell flapjack 100 g,,,,
90,100 g bernard matthew sliced turkey breast,100 g bernard matthew sliced turkey breast,True ,bernard matthew sliced turkey breast 100 g,,,,
91,100 g buttery flapjack,100 g buttery flapjack,True ,buttery flapjack 100 g,,,,
93,100 g chocolate flapjack,100 g chocolate flapjack,True ,chocolate flapjack 100 g,,,,
95,100 g dove saop,100 g dove saop,True ,dove saop 100 g,,,,
96,100 g felix,100 g felix,True ,felix 100 g,,,,
98,100 g imperial leather saop,100 g imperial leather saop,True ,imperial leather saop 100 g,,,,
101,100 g meaty stick with beef,100 g meaty stick with beef,True ,meaty stick with beef 100 g,,,,
102,100 g nestle smartie chocolate,100 g nestle smartie chocolate,True ,nestle smartie chocolate 100 g,,,,
103,100 g sunshine choc cinder,100 g sunshine choc cinder,True ,sunshine choc cinder 100 g,,,,
104,100 g sunshine cinder toffee,100 g sunshine cinder toffee,True ,sunshine cinder toffee 100 g,,,,
106,100 g wagg oven baked treat,100 g wagg oven baked treat,True ,wagg oven baked treat 100 g,,,,
107,100 g wagg skin and coat treat,100 g wagg skin and coat treat,True ,wagg skin and coat treat 100 g,,,,
108,100 pack make your own tube,100 pack make your own tube,True ,make your own tube 100 g,,,,
109,100 swan tube,100 swan tube,True ,swan tube 100 g,,,,
110,10pk budwiser can,10pk budwiser can,True ,budwiser can 10 pack,,,,
111,10pk carling can,10pk carling can,True ,carling can 10 pack,,,,
112,10pk carlsberg pilsner can,10pk carlsberg pilsner can,True ,carlsberg pilsner can 10 pack,,,,
114,10pk extra strawberry,10pk extra strawberry,True ,extra strawberry 10 pack,,,,
34744,10pk extra white,10pk extra ice white,True ,extra white 10 pack,,,,
115,10pk extra white,10pk extra white,True ,extra white 10 pack,,,,
116,10pk foster can,10pk foster can,True ,foster can 10 pack,,,,
117,10pk guinness can,10pk guinness can,True ,guinness can 10 pack,,,,
118,10pk san migual can,10pk san migual can,True ,san migual can 10 pack,,,,
124,12 egg euro shopper,12 egg euro shopper,True ,egg euro shopper 12 units,,,,
126,12 free range large local sourced egg,12 free range large local sourced egg,True ,free range large local sourced egg 12 units,,,,
127,12 golden yorkshire,12 golden yorkshire,True ,golden yorkshire 12 units,,,,
128,12 inch hot chicago town stuffed crust pizza cheese,12 inch hot chicago town stuffed crust pizza cheese,True ,hot chicago town stuffed crust pizza cheese 1 unit,,,,
129,12 inch hot chicago town stuffed crust pizza pepperoni,12 inch hot chicago town stuffed crust pizza pepperoni,True ,hot chicago town stuffed crust pizza pepperoni 1 unit,,,,
130,12 pack farmer jack yorkshire pudding,12 pack farmer jack yorkshire pudding,True , farmer jack yorkshire pudding 12 pack,,,,
131,12 pack happy shopper size 6 baby nappy,12 pack happy shopper size 6 baby nappy,True ,happy shopper size 6 baby nappy 12 pack,Happy Shopper ,,,
133,12 pizza meal deal,12 pizza meal deal,True ,pizza meal deal 12 units,,,,
135,12 pk oxo cube red,12 pk oxo cube red,True ,oxo cube red 12 pack,,,,
136,12 x 100 g felix agail favourite pouch,12 x 100 g felix agail favourite pouch,True ,felix agail favourite pouch 12 x 100 g ,,,,
139,12 year old blended scotch whisky,12 year old blended scotch whisky,True ,12 year old blended scotch whisky 1 unit,,,,
143,120 g fruit pastille,120 g fruit pastille,True ,fruit pastille 120 g,,,,
147,122 g southern fried chicken burger,122 g southern fried chicken burger,True ,southern fried chicken burger 122 g,,,,
148,123 classic care medium manual toothbrush x2,123 classic care medium manual toothbrush x2,True ,123 classic care medium manual toothbrush 2 units,,,,
150,12pk amstel bottle,12pk amstel bottle,True ,amstel bottle 12 pack,,,,
151,12pk budlight bottle,12pk budlight bottle,True ,budlight bottle 12 pack,,,,
152,12pk budwiser bottle,12pk budwiser bottle,True ,budwiser bottle 12 pack,,,,
153,12pk coors bottle,12pk coors bottle,True ,coors bottle 12 pack,,,,
34889,12pk stella bottle,12pk sol bottle,False ,stella bottle 12 pack,,,,
154,12pk stella bottle,12pk stella bottle,True ,stella bottle 12 pack,,,,
155,13 pack finish all in one powerball tab,13 pack finish all in one powerball tab,True ,finish all in one powerball tab 13 pack,,,,
156,130 g cadburys chocolate eclair,130 g cadburys chocolate eclair,True ,cadburys chocolate eclair 130 g,,,,
157,130 g cadburys giant butons,130 g cadburys giant butons,True ,cadburys giant butons 130 g ,,,,
158,135 g refresher choos fizzy,135 g refresher choos fizzy,True ,refresher choos fizzy 135 g,,,,
159,135 g refresher choos original,135 g refresher choos original,True ,refresher choos original 135 g ,,,,
161,14 pack happy shopper daytime towel super,14 pack happy shopper daytime towel super,True ,happy shopper daytime towel super 14 pack,Happy Shopper ,,,
162,14 pack happy shopper size 5 baby nappy,14 pack happy shopper size 5 baby nappy,True ,happy shopper size 5 baby nappy 14 pack ,Happy Shopper ,,,
164,14 round barbecue,14 round barbecue,True ,14 round barbecue 1 unit,,,,
166,140 g sotg cheeseburger,140 g sotg cheeseburger,True ,sotg cheeseburger 140 g ,,,,
167,141 g bird trifle kit,141 g bird trifle kit,True ,bird trifle kit 141 g ,,,,
172,142 ml encona w indie hot pepper sauce,142 ml encona w indie hot pepper sauce,True , encona w indie hot pepper sauce 142 ml,,,,
174,145 g swizzle squash original,145 g swizzle squash original,True ,swizzle squash original 145 g ,,,,
177,15 g mixed herb,15 g mixed herb,True ,mixed herb 15 g,,,,
178,15 large egg,15 large egg,True ,large egg 15 units,,,,
179,15 pack happy shopper firelighter,15 pack happy shopper firelighter,True ,happy shopper firelighter 15 pack ,Happy Shopper ,,,
180,150 g cesar chicken dog food,150 g cesar chicken dog food,True ,cesar chicken dog food 150 g ,,,,
181,150 g chew strip,150 g chew strip,True ,chew strip 150 g ,,,,
184,150 g extra creamy yogurt,150 g extra creamy yogurt,True ,extra creamy yogurt 150 g ,,,,
191,150 ml lady insette bodyspray,150 ml lady insette bodyspray,True ,lady insette bodyspray 150 ml,,,,
192,150 ml sure for lady,150 ml sure for lady,True ,sure for lady 150 ml,,,,
193,150 ml sure for men,150 ml sure for men,True ,sure for men 150 ml ,,,,
194,150 ml tusk men deodorant,150 ml tusk men deodorant,True ,tusk men deodorant 150 ml,,,,
196,15pk egg mix,15pk egg mix,True ,egg mix 15 pack,,,,
197,16 pack always ultra,16 pack always ultra,True ,always ultra 16 pack,,,,
198,160 g basset midget gem,160 g basset midget gem,True ,basset midget gem 160 g ,,,,
200,160 g sunshine dyna stix,160 g sunshine dyna stix,True ,sunshine dyna stix 160 g ,,,,
201,160 g sunshine milk chocolate raisin,160 g sunshine milk chocolate raisin,True ,sunshine milk chocolate raisin 160 g,,,,
202,160 g sunshine mix bonbon,160 g sunshine mix bonbon,True ,sunshine mix bonbon 160 g,,,,
203,160 g sunshine strawberry foam sweet,160 g sunshine strawberry foam sweet,True ,sunshine strawberry foam sweet 160 g ,,,,
210,1664 275ml 12 pack,1664 275ml 12 pack,True ,1664 12 pack,,,,
211,1664 275ml bottle,1664 275ml bottle,True ,1664 275 ml,,,,
212,1664 440ml 4pack,1664 440ml 4pack,True ,1664 4 pack x 440 ml,,,,
213,1664 660ml,1664 660ml,True ,1664 660 ml,,,,
214,1664 kronenbourg 275ml12,1664 kronenbourg 275ml12,True ,1664 kronenbourg 12 x 275 ml,,,,
216,1664 kronenbourgggg4440ml,1664 kronenbourgggg4440ml,True ,1664 kronenbourgggg 4440 ml,,,,
218,1664 kronunberg 4x 568ml,1664 kronunberg 4x 568ml,True ,1664 kronunberg 4 x 568 ml,,,,
219,1664 lager beer 10 x 440ml can,1664 lager beer 10 x 440ml can,True ,1664 lager beer can 10 x 440 ml ,,,,
220,1664 lager beer 4 x 500ml can,1664 lager beer 4 x 500ml can,True ,1664 lager beer can 4 x 500 ml,,,,
221,1664 pint,1664 pint,True ,1664 pint,,,,
222,1664 pint 568ml can,1664 pint 568ml can,True ,1664 pint can 568 ml,,,,
223,17 g skip,17 g skip,True ,skip 17 g,,,,
231,18 x 440 ml carling,10 x 440 ml carling,True ,carling 18 x 440 ml ,,,,
231,18 x 440 ml carling,18 x 440 ml carling,True ,carling 18 x 440 ml ,,,,
235,180 g 4 pack small bone,180 g 4 pack small bone,True ,small bone 4 pack,,,,
238,180 g euro shopper tuna chun,180 g euro shopper tuna chun,True ,euro shopper tuna chun 180 g ,,,,
239,180 g fox chunky milk chocolate cooky,180 g fox chunky milk chocolate cooky,True ,fox chunky milk chocolate cooky 180 g ,,,,
247,187 ml hidden road pinot grigio,187 ml hidden road pinot grigio,True ,hidden road pinot grigio 187 ml,,,,
250,189 g cadburys hero,189 g cadburys hero,True ,cadburys hero 189 g,,,,
251,19 crime,19 crime,True ,19 crime,,,,
252,19 crime 2020 red 750ml,19 crime 2020 red 750ml,True ,19 crime 2020 red 750 ml,,,,
254,19 crime cabernet sauvignon,19 crime cabernet sauvignon,True ,19 crime cabernet sauvignon,,,,
256,19 crime red,19 crime red,True ,19 crime red,,,,
258,19 crime revolutionary ro 750ml,19 crime revolutionary ro 750ml,True ,19 crime revolutionary ro 750 ml,,,,
34890,19 crime sauvignon block 75cl,19 crime cab sauvignon 75cl,False ,19 crime sauvignon block 750 ml,,,,
260,19 crime sauvignon block 75cl,19 crime sauv blanc 75cl,True ,19 crime sauvignon block 750 ml,,,,
260,19 crime sauvignon block 75cl,19 crime sauv block 750ml,True ,19 crime sauvignon block 750 ml,,,,
260,19 crime sauvignon block 75cl,19 crime sauv block 75cl,True ,19 crime sauvignon block 750 ml,,,,
260,19 crime sauvignon block 75cl,19 crime sauvignon block,True ,19 crime sauvignon block 750 ml,,,,
260,19 crime sauvignon block 75cl,19 crime sauvignon block 75cl,True ,19 crime sauvignon block 750 ml,,,,
261,19 crime the banished dark red wine,19 crime the banished dark red wine,True ,19 crime the banished dark red wine,,,,
262,19 crime the banished red 75cl,19 crime the banished red 75cl,True ,19 crime the banished red 750 ml,,,,
263,19 crime the deported 75cl,19 crime the deported,True ,19 crime the deported 750 ml,,,,
263,19 crime the deported 75cl,19 crime the deported 75cl,True ,19 crime the deported 750 ml,,,,
265,19 crime the uprising part aged in rum barrel 75cl,19 crime the uprising part aged in rum barrel 75cl,True ,19 crime the uprising part aged in rum barrel 750 ml,,,,
266,19 crime the uprising red wine 75cl,19 crime the uprising,True ,19 crime the uprising red wine 750 ml,,,,
266,19 crime the uprising red wine 75cl,19 crime the uprising 75cl,True ,19 crime the uprising red wine 750 ml,,,,
266,19 crime the uprising red wine 75cl,19 crime the uprising red wine,True ,19 crime the uprising red wine 750 ml,,,,
266,19 crime the uprising red wine 75cl,19 crime the uprising red wine 750ml,True ,19 crime the uprising red wine 750 ml,,,,
266,19 crime the uprising red wine 75cl,19 crime the uprising red wine 75cl,True ,19 crime the uprising red wine 750 ml,,,,
267,19 crime white chard 75cl,19 crime chard,True ,19 crime white chardonnay 750 ml,,,,
267,19 crime white chard 75cl,19 crime chard 750ml,True ,19 crime white chardonnay 750 ml,,,,
267,19 crime white chard 75cl,19 crime chard 75cl,True ,19 crime white chardonnay 750 ml,,,,
267,19 crime white chard 75cl,19 crime chardonnay,True ,19 crime white chardonnay 750 ml,,,,
267,19 crime white chard 75cl,19 crime chardonnay 70cl,True ,19 crime white chardonnay 750 ml,,,,
